Lepton Type,Invariant Mass (GeV/c^2)
e,89.51
e,61.92
e,89.51
e,2.73
e,84.36
e,10.34
e,57.92
e,86.41
e,92.23
e,10.76
e,2.82
e,3.64
e,2.76
e,8.59
e,94.42
e,8.76
e,9.79
e,85.76
e,8.88
e,23.66
e,2.11
e,83.90
e,15.56
e,3.74
e,3.81
e,9.22
e,3.24
e,4.44
e,8.78
e,4.23
e,3.36
e,94.04
e,212.37
e,3.49
e,89.58
e,3.10
e,30.50
e,53.19
e,9.84
e,91.21
e,10.89
e,145.72
e,24.29
e,9.67
e,10.24
e,3.72
e,37.50
e,2.29
e,2.13
e,88.35
e,11.22
e,10.20
e,4.84
e,2.71
e,87.15
e,93.78
e,2.73
e,3.41
e,41.39
e,3.41
e,89.82
e,92.73
e,179.18
e,3.02
e,9.38
e,11.03
e,93.96
e,9.69
e,3.12
e,3.05
e,8.46
e,72.36
e,4.26
e,4.27
e,31.41
e,2.96
e,10.12
e,10.87
e,103.91
e,23.92
e,89.91
e,11.16
e,2.97
e,80.08
e,3.35
e,9.03
e,87.22
e,29.28
e,8.65
e,3.57
e,2.93
e,95.86
e,9.84
e,3.51
e,10.68
e,4.99
e,87.71
e,92.77
e,10.02
e,72.25
e,88.82
e,10.24
e,3.22
e,2.50
e,4.56
e,4.59
e,4.00
e,9.62
e,44.39
e,9.32
e,9.94
e,3.74
e,82.46
e,92.88
e,89.60
e,4.02
e,89.94
e,9.20
e,4.07
e,4.32
e,90.15
e,2.66
e,41.69
e,2.53
e,89.64
e,10.18
e,3.16
e,2.62
e,10.25
e,12.33
e,8.09
e,2.57
e,91.59
m,3.01
m,10.41
m,2.53
m,9.64
m,2.59
m,94.83
m,80.78
m,3.14
m,3.24
m,88.58
m,93.83
m,3.90
m,88.80
m,91.84
m,10.82
m,10.13
m,3.21
m,3.15
m,84.40
m,88.56
m,10.20
m,87.75
m,2.42
m,3.46
m,3.18
m,9.36
m,10.99
m,88.27
m,3.17
m,90.36
m,86.97
m,9.83
m,10.31
m,88.43
m,3.11
m,3.09
m,11.18
m,2.14
m,4.76
m,10.10
m,78.77
m,8.72
m,3.14
m,90.59
m,88.08
m,4.62
m,3.29
m,95.63
m,4.74
m,4.07
m,91.74
m,2.98
m,2.95
m,10.82
m,9.70
m,88.25
m,3.11
m,92.67
m,10.31
m,85.51
m,9.59
m,3.10
m,94.39
m,3.04
m,94.04
m,3.01
m,3.14
m,3.02
m,92.97
m,94.36
m,15.89
m,10.28
m,8.53
m,9.93
m,87.26
m,4.20
m,3.15
m,3.07
m,9.86
m,9.49
m,90.18
m,93.29
m,3.88
m,11.14
m,87.94
m,9.94
m,90.94
m,11.02
m,86.60
m,90.40
m,9.49
m,3.07
m,3.87
m,3.20
m,11.31
m,9.40
m,86.20
m,11.03
m,91.78
m,3.15
m,2.10
photon,241.04
photon,239.96
photon,149.49
photon,230.91
photon,54.19
photon,152.96
photon,146.85
photon,36.37
photon,167.17
photon,145.81
photon,246.28
photon,90.57
photon,212.33
photon,65.80
photon,34.98
photon,32.72
photon,56.08
photon,99.63
photon,92.80
photon,244.06
photon,130.07
photon,100.67
photon,69.40
photons,130.07
photons,168.85
photons,170.4731
photons,169.171
photons,241.0474